name,cfp-Bplaces,cfp-Btransitions,cfp-Barcs,cfp-Aplaces,cfp-Atransitions,cfp-Aarcs,cfp-unfoldingtime,colorfixedpoint,mcc-Aplaces,mcc-Atransitions,mcc-Aarcs,mcc-unfoldingtime,size_ratio,unfolding_ratio
DrinkVendingMachine-COL-02,6.0,7.0,28.0,24.0,72.0,440.0,0.00034409375000000016,0.00021665625,24,72,440,0.6836666666666665,1.0,0.0008202096538274016
AirplaneLD-COL-0010,20.0,15.0,56.0,89.0,88.0,333.0,0.0003285,0.00015587500000000003,89,88,333,0.4323333333333333,1.0,0.0011203739398612184
Referendum-COL-0010,4.0,3.0,6.0,31.0,21.0,51.0,7.771875000000002e-05,2.44375e-05,31,21,51,0.043666666666666666,1.0,0.0023394561068702294
CSRepetitions-COL-02,6.0,5.0,15.0,23.0,28.0,92.0,0.000133,7.306249999999998e-05,23,28,92,0.07166666666666667,1.0,0.002875290697674418
AirplaneLD-COL-0050,20.0,15.0,56.0,369.0,408.0,1553.0,0.0012222499999999998,0.00015509375,369,408,1553,0.44566666666666666,1.0,0.0030905244951383694
DatabaseWithMutex-COL-02,11.0,8.0,22.0,38.0,32.0,88.0,0.00017946875000000005,0.00013062500000000002,38,32,88,0.07233333333333333,1.0,0.004287010368663595
DatabaseWithMutex-COL-04,11.0,8.0,22.0,140.0,128.0,416.0,0.00056521875,0.00016965625000000005,140,128,416,0.16433333333333333,1.0,0.0044718559837728196
Referendum-COL-0015,4.0,3.0,6.0,46.0,31.0,76.0,0.00010500000000000002,2.4406250000000004e-05,46,31,76,0.02866666666666667,1.0,0.004514171511627907
CSRepetitions-COL-03,6.0,5.0,15.0,58.0,81.0,279.0,0.00029643750000000004,6.80625e-05,58,81,279,0.07166666666666667,1.0,0.005086046511627907
AirplaneLD-COL-0100,20.0,15.0,56.0,719.0,808.0,3078.0,0.00233053125,0.00015046875,719,808,3078,0.445,1.0,0.005575280898876405
FamilyReunion-COL-L00010M0001C001P001G001,104.0,66.0,198.0,1475.0,1234.0,3799.0,0.00451959375,0.00059571875,1486,1234,3799,0.9099999999999998,0.9959558823529412,0.005621222527472529
AirplaneLD-COL-0020,20.0,15.0,56.0,159.0,168.0,638.0,0.0005506250000000001,0.00014659375000000002,159,168,638,0.11499999999999999,1.0,0.006062771739130436
Referendum-COL-0050,4.0,3.0,6.0,151.0,101.0,251.0,0.0002909375,2.928125e-05,151,101,251,0.044333333333333336,1.0,0.007222979323308271
CSRepetitions-COL-04,6.0,5.0,15.0,117.0,176.0,624.0,0.00058265625,6.362499999999999e-05,117,176,624,0.07233333333333333,1.0,0.008934763824884792
AirplaneLD-COL-0200,20.0,15.0,56.0,1419.0,1608.0,6128.0,0.004635593750000001,0.00015524999999999995,1419,1608,6128,0.4586666666666666,1.0,0.010445153524709306
Sudoku-COL-BN01,5.0,1.0,5.0,5.0,1.0,5.0,3.184375e-05,9.984374999999998e-05,5,1,5,0.012333333333333335,1.0,0.01067736486486486
Sudoku-COL-AN02,4.0,1.0,4.0,20.0,8.0,32.0,7.434375e-05,6.206249999999997e-05,20,8,32,0.012000000000000002,1.0,0.011367187499999995
Sudoku-COL-AN04,4.0,1.0,4.0,112.0,64.0,256.0,0.0003595,6.34375e-05,112,64,256,0.030000000000000002,1.0,0.014097916666666667
LamportFastMutEx-COL-3,18.0,17.0,68.0,71.0,114.0,480.0,0.0005464687500000001,0.0012758125000000003,100,156,664,0.126,0.72265625,0.014462549603174606
Referendum-COL-0020,4.0,3.0,6.0,61.0,41.0,101.0,0.00013565624999999998,3.2968750000000005e-05,61,41,101,0.011000000000000001,1.0,0.015329545454545452
CSRepetitions-COL-05,6.0,5.0,15.0,206.0,325.0,1175.0,0.00105696875,6.809375000000001e-05,206,325,1175,0.07233333333333333,1.0,0.015553859447004608
SharedMemory-COL-000010,6.0,5.0,16.0,141.0,220.0,840.0,0.0007645000000000001,7.80625e-05,141,220,840,0.05033333333333334,1.0,0.016739652317880795
SafeBus-COL-80,20.0,14.0,68.0,13766.0,550801.0,4308564.0,2.7349084375,0.5408004375,13766,550801,4308564,161.049,1.0,0.0203398274748679
DatabaseWithMutex-COL-10,11.0,8.0,22.0,830.0,800.0,3800.0,0.0038176250000000003,0.00026834375,830,800,3800,0.19400000000000003,1.0,0.021061694587628865
Sudoku-COL-BN04,5.0,1.0,5.0,128.0,64.0,320.0,0.0006208124999999999,0.00044859374999999994,128,64,320,0.04700000000000001,1.0,0.0227533244680851
AirplaneLD-COL-0500,20.0,15.0,56.0,3519.0,4008.0,15278.0,0.011741625,0.00015756250000000007,3519,4008,15278,0.45766666666666667,1.0,0.025999681354697744
Sudoku-COL-AN01,4.0,1.0,4.0,4.0,1.0,4.0,3.028124999999999e-05,7.26875e-05,4,1,4,0.0033333333333333335,1.0,0.030890624999999994
SafeBus-COL-50,20.0,14.0,68.0,5606.0,140251.0,1083354.0,0.6605368437499999,0.13807599999999998,5606,140251,1083354,25.11866666666667,1.0,0.031793600128058805
Sudoku-COL-BN16,5.0,1.0,5.0,5120.0,4096.0,20480.0,0.4714563749999999,0.008454499999999998,5120,4096,20480,13.995,1.0,0.034291595212575916
Referendum-COL-0100,4.0,3.0,6.0,301.0,201.0,501.0,0.0005484374999999999,2.515625e-05,301,201,501,0.016333333333333335,1.0,0.03511798469387754
Sudoku-COL-AN03,4.0,1.0,4.0,54.0,27.0,108.0,0.00017825,7.146875e-05,54,27,108,0.007000000000000002,1.0,0.03567410714285713
CSRepetitions-COL-07,6.0,5.0,15.0,498.0,833.0,3087.0,0.0026419374999999993,6.396875e-05,498,833,3087,0.07366666666666667,1.0,0.03673175904977374
NeoElection-COL-2,18.0,22.0,98.0,41.0,21.0,89.0,0.0003080625,0.0012575312499999998,438,375,2106,0.041666666666666664,0.07626076260762607,0.03757425
SafeBus-COL-03,20.0,14.0,68.0,60.0,97.0,568.0,0.0005102812499999999,0.0005139062499999999,60,97,568,0.026,1.0,0.039391826923076925
Sudoku-COL-AN05,4.0,1.0,4.0,200.0,125.0,500.0,0.0006677499999999998,7.059375e-05,200,125,500,0.018000000000000002,1.0,0.04101909722222221
Sudoku-COL-BN09,5.0,1.0,5.0,1053.0,729.0,3645.0,0.0207635,0.0022651562499999994,1053,729,3645,0.519,1.0,0.044371206647398846
LamportFastMutEx-COL-2,18.0,17.0,68.0,44.0,62.0,256.0,0.00034271875000000003,0.00069446875,69,96,402,0.01966666666666667,0.6424242424242425,0.05273834745762711
AirplaneLD-COL-1000,20.0,15.0,56.0,7019.0,8008.0,30528.0,0.026382312499999998,0.00015421874999999995,7019,8008,30528,0.4843333333333333,1.0,0.05478980987611838
Philosophers-COL-000020,5.0,5.0,15.0,100.0,100.0,320.0,0.00032100000000000005,7.40625e-05,100,100,320,0.006666666666666667,1.0,0.059259375
Referendum-COL-0200,4.0,3.0,6.0,601.0,401.0,1001.0,0.001049875,2.3468750000000005e-05,601,401,1001,0.017333333333333336,1.0,0.06192367788461538
DotAndBoxes-COL-2,8.0,8.0,44.0,54.0,64.0,576.0,0.0007123124999999998,0.0034947187499999996,66,164,1616,0.06133333333333333,0.5130434782608696,0.06859290081521739
SafeBus-COL-20,20.0,14.0,68.0,1046.0,10501.0,77544.0,0.04504518750000001,0.0117588125,1046,10501,77544,0.7696666666666666,1.0,0.07380337808575142
Philosophers-COL-000005,5.0,5.0,15.0,25.0,25.0,80.0,0.00010446874999999996,6.95625e-05,25,25,80,0.0023333333333333335,1.0,0.07458482142857141
SafeBus-COL-15,20.0,14.0,68.0,636.0,4801.0,34684.0,0.020154124999999995,0.006352749999999999,636,4801,34684,0.33066666666666666,1.0,0.0801619203629032
SharedMemory-COL-000020,6.0,5.0,16.0,481.0,840.0,3280.0,0.0027355937499999997,8.125000000000002e-05,481,840,3280,0.03366666666666667,1.0,0.08366862623762375
DatabaseWithMutex-COL-20,11.0,8.0,22.0,3260.0,3200.0,23200.0,0.020274250000000004,0.00046309374999999996,3260,3200,23200,0.22533333333333336,1.0,0.09202963202662723
Philosophers-COL-000010,5.0,5.0,15.0,50.0,50.0,160.0,0.00017368750000000001,7.300000000000004e-05,50,50,160,0.0026666666666666666,1.0,0.09250781250000002
