name,cfp-Bplaces,cfp-Btransitions,cfp-Barcs,cfp-Aplaces,cfp-Atransitions,cfp-Aarcs,cfp-unfoldingtime,colorfixedpoint,mcc-Aplaces,mcc-Atransitions,mcc-Aarcs,mcc-unfoldingtime,size_ratio,unfolding_ratio
DrinkVendingMachine-COL-02,6.0,7.0,28.0,24.0,72.0,440.0,0.000345875,0.00021349999999999999,24,72,440,0.6836666666666665,1.0,0.0008181984397854706
AirplaneLD-COL-0010,20.0,15.0,56.0,89.0,88.0,333.0,0.00032578124999999995,0.00014999999999999996,89,88,333,0.4323333333333333,1.0,0.00110049633770239
Referendum-COL-0010,4.0,3.0,6.0,31.0,21.0,51.0,8.221874999999999e-05,3.631250000000001e-05,31,21,51,0.043666666666666666,1.0,0.002714456106870229
CSRepetitions-COL-02,6.0,5.0,15.0,23.0,28.0,92.0,0.00013121874999999996,6.646875e-05,23,28,92,0.07166666666666667,1.0,0.0027584302325581386
AirplaneLD-COL-0050,20.0,15.0,56.0,369.0,408.0,1553.0,0.00123440625,0.00015853125,369,408,1553,0.44566666666666666,1.0,0.0031255142109199705
DatabaseWithMutex-COL-02,11.0,8.0,22.0,38.0,32.0,88.0,0.00017584375,0.000121625,38,32,88,0.07233333333333333,1.0,0.0041124711981566815
DatabaseWithMutex-COL-04,11.0,8.0,22.0,140.0,128.0,416.0,0.0005643125000000001,0.00015734374999999999,140,128,416,0.16433333333333333,1.0,0.004391417342799189
Referendum-COL-0015,4.0,3.0,6.0,46.0,31.0,76.0,0.00010884374999999999,3.1718749999999995e-05,46,31,76,0.02866666666666667,1.0,0.004903343023255812
CSRepetitions-COL-03,6.0,5.0,15.0,58.0,81.0,279.0,0.0003021875,7.534375e-05,58,81,279,0.07166666666666667,1.0,0.0052678779069767435
AirplaneLD-COL-0100,20.0,15.0,56.0,719.0,808.0,3078.0,0.00231725,0.00014803125000000002,719,808,3078,0.445,1.0,0.005539957865168539
FamilyReunion-COL-L00010M0001C001P001G001,104.0,66.0,198.0,1475.0,1234.0,3799.0,0.00452615625,0.00059565625,1486,1234,3799,0.9099999999999998,0.9959558823529412,0.005628365384615385
AirplaneLD-COL-0020,20.0,15.0,56.0,159.0,168.0,638.0,0.0005558125,0.000145875,159,168,638,0.11499999999999999,1.0,0.0061016304347826095
Referendum-COL-0050,4.0,3.0,6.0,151.0,101.0,251.0,0.00028709374999999997,2.9375000000000006e-05,151,101,251,0.044333333333333336,1.0,0.007138392857142856
CSRepetitions-COL-04,6.0,5.0,15.0,117.0,176.0,624.0,0.0005866249999999999,6.568749999999999e-05,117,176,624,0.07233333333333333,1.0,0.009018145161290321
AirplaneLD-COL-0200,20.0,15.0,56.0,1419.0,1608.0,6128.0,0.0046215625,0.00016496875000000002,1419,1608,6128,0.4586666666666666,1.0,0.010435751271802327
Sudoku-COL-BN01,5.0,1.0,5.0,5.0,1.0,5.0,3.684375000000001e-05,0.00011293749999999999,5,1,5,0.012333333333333335,1.0,0.012144425675675675
Sudoku-COL-AN02,4.0,1.0,4.0,20.0,8.0,32.0,7.565625e-05,7.131250000000002e-05,20,8,32,0.012000000000000002,1.0,0.012247395833333332
Sudoku-COL-AN04,4.0,1.0,4.0,112.0,64.0,256.0,0.000361125,6.753125e-05,112,64,256,0.030000000000000002,1.0,0.014288541666666666
LamportFastMutEx-COL-3,18.0,17.0,68.0,71.0,114.0,480.0,0.0005448750000000001,0.0012797187500000003,100,156,664,0.126,0.72265625,0.01448090277777778
Referendum-COL-0020,4.0,3.0,6.0,61.0,41.0,101.0,0.00013646875,3.4500000000000005e-05,61,41,101,0.011000000000000001,1.0,0.015542613636363636
CSRepetitions-COL-05,6.0,5.0,15.0,206.0,325.0,1175.0,0.0010574375,6.859375e-05,206,325,1175,0.07233333333333333,1.0,0.015567252304147466
SharedMemory-COL-000010,6.0,5.0,16.0,141.0,220.0,840.0,0.0007638749999999998,8.046875000000001e-05,141,220,840,0.05033333333333334,1.0,0.01677504139072847
SafeBus-COL-80,20.0,14.0,68.0,13766.0,550801.0,4308564.0,2.6923987499999997,0.5396450937499999,13766,550801,4308564,161.049,1.0,0.02006869861812243
DatabaseWithMutex-COL-10,11.0,8.0,22.0,830.0,800.0,3800.0,0.00381903125,0.00026721875000000004,830,800,3800,0.19400000000000003,1.0,0.0210631443298969
Sudoku-COL-BN04,5.0,1.0,5.0,128.0,64.0,320.0,0.00062365625,0.00045853124999999995,128,64,320,0.04700000000000001,1.0,0.023025265957446802
AirplaneLD-COL-0500,20.0,15.0,56.0,3519.0,4008.0,15278.0,0.011900125000000001,0.00015625000000000003,3519,4008,15278,0.45766666666666667,1.0,0.02634313546977422
Sudoku-COL-AN01,4.0,1.0,4.0,4.0,1.0,4.0,2.8281249999999996e-05,6.693750000000001e-05,4,1,4,0.0033333333333333335,1.0,0.028565625
SafeBus-COL-50,20.0,14.0,68.0,5606.0,140251.0,1083354.0,0.6577751562499999,0.1370668125,5606,140251,1083354,25.11866666666667,1.0,0.031643477709140604
Sudoku-COL-BN16,5.0,1.0,5.0,5120.0,4096.0,20480.0,0.471042375,0.008457,5120,4096,20480,13.995,1.0,0.03426219185423366
Referendum-COL-0100,4.0,3.0,6.0,301.0,201.0,501.0,0.0005466562500000002,2.825e-05,301,201,501,0.016333333333333335,1.0,0.035198341836734696
Sudoku-COL-AN03,4.0,1.0,4.0,54.0,27.0,108.0,0.00018059374999999998,7.159374999999999e-05,54,27,108,0.007000000000000002,1.0,0.0360267857142857
CSRepetitions-COL-07,6.0,5.0,15.0,498.0,833.0,3087.0,0.0026302499999999998,6.812499999999999e-05,498,833,3087,0.07366666666666667,1.0,0.036629524886877825
NeoElection-COL-2,18.0,22.0,98.0,41.0,21.0,89.0,0.0003085,0.0012588749999999998,438,375,2106,0.041666666666666664,0.07626076260762607,0.037617
SafeBus-COL-03,20.0,14.0,68.0,60.0,97.0,568.0,0.0005054999999999999,0.0005111250000000001,60,97,568,0.026,1.0,0.039100961538461536
Sudoku-COL-AN05,4.0,1.0,4.0,200.0,125.0,500.0,0.0006665625000000001,6.156249999999999e-05,200,125,500,0.018000000000000002,1.0,0.040451388888888884
Sudoku-COL-BN09,5.0,1.0,5.0,1053.0,729.0,3645.0,0.020832312499999995,0.0022794062500000006,1053,729,3645,0.519,1.0,0.04453124999999999
AirplaneLD-COL-1000,20.0,15.0,56.0,7019.0,8008.0,30528.0,0.025067312500000005,0.00015350000000000002,7019,8008,30528,0.4843333333333333,1.0,0.052073253613214056
LamportFastMutEx-COL-2,18.0,17.0,68.0,44.0,62.0,256.0,0.00034225,0.0006890625000000001,69,96,402,0.01966666666666667,0.6424242424242425,0.05243961864406779
Philosophers-COL-000020,5.0,5.0,15.0,100.0,100.0,320.0,0.00031831249999999996,6.715625e-05,100,100,320,0.006666666666666667,1.0,0.05782031249999999
Referendum-COL-0200,4.0,3.0,6.0,601.0,401.0,1001.0,0.0010639374999999998,3.56875e-05,601,401,1001,0.017333333333333336,1.0,0.06343990384615382
DotAndBoxes-COL-2,8.0,8.0,44.0,54.0,64.0,576.0,0.0007086249999999998,0.0034796562499999997,66,164,1616,0.06133333333333333,0.5130434782608696,0.06828719429347825
Philosophers-COL-000005,5.0,5.0,15.0,25.0,25.0,80.0,0.00010337500000000002,6.340625e-05,25,25,80,0.0023333333333333335,1.0,0.07147767857142857
