name,cfp-Bplaces,cfp-Btransitions,cfp-Barcs,cfp-Aplaces,cfp-Atransitions,cfp-Aarcs,cfp-unfoldingtime,colorfixedpoint,mcc-Aplaces,mcc-Atransitions,mcc-Aarcs,mcc-unfoldingtime,size_ratio,unfolding_ratio
DrinkVendingMachine-COL-02,6.0,7.0,28.0,24.0,72.0,440.0,0.00035278124999999996,0.0002246875,24,72,440,0.6836666666666665,1.0,0.0008446641882008777
AirplaneLD-COL-0010,20.0,15.0,56.0,89.0,88.0,333.0,0.00032934374999999994,0.00015621875000000005,89,88,333,0.4323333333333333,1.0,0.00112312066306862
Referendum-COL-0010,4.0,3.0,6.0,31.0,21.0,51.0,7.759374999999997e-05,2.78125e-05,31,21,51,0.043666666666666666,1.0,0.0024138835877862592
CSRepetitions-COL-02,6.0,5.0,15.0,23.0,28.0,92.0,0.00012465625,6.684374999999998e-05,23,28,92,0.07166666666666667,1.0,0.002672093023255814
AirplaneLD-COL-0050,20.0,15.0,56.0,369.0,408.0,1553.0,0.00124171875,0.00015996874999999995,369,408,1553,0.44566666666666666,1.0,0.0031451477187733733
DatabaseWithMutex-COL-02,11.0,8.0,22.0,38.0,32.0,88.0,0.00017862500000000005,0.00012524999999999998,38,32,88,0.07233333333333333,1.0,0.004201036866359447
DatabaseWithMutex-COL-04,11.0,8.0,22.0,140.0,128.0,416.0,0.0005697812499999999,0.00016371875000000002,140,128,416,0.16433333333333333,1.0,0.004463488843813387
Referendum-COL-0015,4.0,3.0,6.0,46.0,31.0,76.0,0.00010403125000000001,2.49375e-05,46,31,76,0.02866666666666667,1.0,0.00449890988372093
CSRepetitions-COL-03,6.0,5.0,15.0,58.0,81.0,279.0,0.00029440624999999996,6.856249999999999e-05,58,81,279,0.07166666666666667,1.0,0.005064680232558139
AirplaneLD-COL-0100,20.0,15.0,56.0,719.0,808.0,3078.0,0.0023306562500000003,0.00015437500000000003,719,808,3078,0.445,1.0,0.00558433988764045
FamilyReunion-COL-L00010M0001C001P001G001,104.0,66.0,198.0,1475.0,1234.0,3799.0,0.004577624999999999,0.00059934375,1486,1234,3799,0.9099999999999998,0.9959558823529412,0.0056889766483516485
AirplaneLD-COL-0020,20.0,15.0,56.0,159.0,168.0,638.0,0.00055596875,0.00015212499999999997,159,168,638,0.11499999999999999,1.0,0.00615733695652174
Referendum-COL-0050,4.0,3.0,6.0,151.0,101.0,251.0,0.00028659374999999996,2.7375000000000008e-05,151,101,251,0.044333333333333336,1.0,0.007082001879699247
CSRepetitions-COL-04,6.0,5.0,15.0,117.0,176.0,624.0,0.0005916874999999999,7.568750000000002e-05,117,176,624,0.07233333333333333,1.0,0.00922638248847926
BridgeAndVehicles-COL-V80P50N50,15.0,11.0,56.0,228.0,8588.0,67470.0,0.034182687499999996,0.023005343749999997,228,8588,67470,5.6803333333333335,1.0,0.01006772453201103
BridgeAndVehicles-COL-V80P20N50,15.0,11.0,56.0,228.0,8588.0,67470.0,0.034234125,0.022848156249999998,228,8588,67470,5.636333333333333,1.0,0.010127555961322372
AirplaneLD-COL-0200,20.0,15.0,56.0,1419.0,1608.0,6128.0,0.004625343750000001,0.00015568750000000004,1419,1608,6128,0.4586666666666666,1.0,0.010423759992732562
