name,cfp-Bplaces,cfp-Btransitions,cfp-Barcs,cfp-Aplaces,cfp-Atransitions,cfp-Aarcs,cfp-unfoldingtime,colorfixedpoint,mcc-Aplaces,mcc-Atransitions,mcc-Aarcs,mcc-unfoldingtime,size_ratio,unfolding_ratio
DrinkVendingMachine-COL-02,6.0,7.0,28.0,24.0,72.0,440.0,0.00035221875000000005,0.0002252499999999999,24,72,440,0.6836666666666665,1.0,0.0008446641882008777
AirplaneLD-COL-0010,20.0,15.0,56.0,89.0,88.0,333.0,0.00032959375,0.00015728124999999998,89,88,333,0.4323333333333333,1.0,0.0011261565150346956
Referendum-COL-0010,4.0,3.0,6.0,31.0,21.0,51.0,7.881250000000001e-05,2.6406250000000005e-05,31,21,51,0.043666666666666666,1.0,0.002409589694656489
CSRepetitions-COL-02,6.0,5.0,15.0,23.0,28.0,92.0,0.00012715625000000002,6.718749999999999e-05,23,28,92,0.07166666666666667,1.0,0.0027117732558139536
AirplaneLD-COL-0050,20.0,15.0,56.0,369.0,408.0,1553.0,0.0012282812499999998,0.00015590624999999998,369,408,1553,0.44566666666666666,1.0,0.0031058807030665664
DatabaseWithMutex-COL-02,11.0,8.0,22.0,38.0,32.0,88.0,0.00017749999999999998,0.00012496875,38,32,88,0.07233333333333333,1.0,0.0041815956221198155
DatabaseWithMutex-COL-04,11.0,8.0,22.0,140.0,128.0,416.0,0.0005651874999999999,0.00016275,140,128,416,0.16433333333333333,1.0,0.0044296399594320485
Referendum-COL-0015,4.0,3.0,6.0,46.0,31.0,76.0,0.00010756249999999996,2.9343750000000005e-05,46,31,76,0.02866666666666667,1.0,0.00477579941860465
CSRepetitions-COL-03,6.0,5.0,15.0,58.0,81.0,279.0,0.00029987500000000007,6.884375000000002e-05,58,81,279,0.07166666666666667,1.0,0.0051449127906976755
AirplaneLD-COL-0100,20.0,15.0,56.0,719.0,808.0,3078.0,0.0023366875000000002,0.00016240624999999995,719,808,3078,0.445,1.0,0.005615941011235955
FamilyReunion-COL-L00010M0001C001P001G001,104.0,66.0,198.0,1475.0,1234.0,3799.0,0.0046481874999999995,0.00060853125,1486,1234,3799,0.9099999999999998,0.9959558823529412,0.005776614010989011
AirplaneLD-COL-0020,20.0,15.0,56.0,159.0,168.0,638.0,0.0005543750000000001,0.00015365624999999998,159,168,638,0.11499999999999999,1.0,0.006156793478260871
Referendum-COL-0050,4.0,3.0,6.0,151.0,101.0,251.0,0.00028721875,2.540625000000001e-05,151,101,251,0.044333333333333336,1.0,0.007051691729323307
CSRepetitions-COL-04,6.0,5.0,15.0,117.0,176.0,624.0,0.00058921875,7.165625000000001e-05,117,176,624,0.07233333333333333,1.0,0.00913652073732719
AirplaneLD-COL-0200,20.0,15.0,56.0,1419.0,1608.0,6128.0,0.004598562499999999,0.00014446874999999998,1419,1608,6128,0.4586666666666666,1.0,0.010340911155523255
Sudoku-COL-BN01,5.0,1.0,5.0,5.0,1.0,5.0,3.2437499999999996e-05,0.00010515625,5,1,5,0.012333333333333335,1.0,0.011156249999999998
Sudoku-COL-AN02,4.0,1.0,4.0,20.0,8.0,32.0,7.33125e-05,6.396874999999999e-05,20,8,32,0.012000000000000002,1.0,0.011440104166666663
Sudoku-COL-AN04,4.0,1.0,4.0,112.0,64.0,256.0,0.0003591875,6.459375e-05,112,64,256,0.030000000000000002,1.0,0.014126041666666665
LamportFastMutEx-COL-3,18.0,17.0,68.0,71.0,114.0,480.0,0.0005460937499999999,0.001273875,100,156,664,0.126,0.72265625,0.014444196428571428
Referendum-COL-0020,4.0,3.0,6.0,61.0,41.0,101.0,0.00013528124999999998,2.7156250000000003e-05,61,41,101,0.011000000000000001,1.0,0.014767045454545451
CSRepetitions-COL-05,6.0,5.0,15.0,206.0,325.0,1175.0,0.00105771875,6.656249999999998e-05,206,325,1175,0.07233333333333333,1.0,0.01554305875576037
SharedMemory-COL-000010,6.0,5.0,16.0,141.0,220.0,840.0,0.00076403125,7.6625e-05,141,220,840,0.05033333333333334,1.0,0.0167017798013245
DatabaseWithMutex-COL-10,11.0,8.0,22.0,830.0,800.0,3800.0,0.00377484375,0.00026490624999999995,830,800,3800,0.19400000000000003,1.0,0.02082345360824742
Sudoku-COL-BN04,5.0,1.0,5.0,128.0,64.0,320.0,0.0006169687500000001,0.00044465624999999996,128,64,320,0.04700000000000001,1.0,0.022587765957446805
AirplaneLD-COL-0500,20.0,15.0,56.0,3519.0,4008.0,15278.0,0.011933437499999996,0.00015743749999999997,3519,4008,15278,0.45766666666666667,1.0,0.026418517844136916
