name,cfp-Bplaces,cfp-Btransitions,cfp-Barcs,cfp-Aplaces,cfp-Atransitions,cfp-Aarcs,cfp-unfoldingtime,colorfixedpoint,mcc-Aplaces,mcc-Atransitions,mcc-Aarcs,mcc-unfoldingtime,size_ratio,unfolding_ratio
DrinkVendingMachine-COL-02,6.0,7.0,28.0,24.0,72.0,440.0,0.00034593750000000005,0.00020934374999999998,24,72,440,0.6836666666666665,1.0,0.0008122105070697222
AirplaneLD-COL-0010,20.0,15.0,56.0,89.0,88.0,333.0,0.000327375,0.00014750000000000003,89,88,333,0.4323333333333333,1.0,0.0010984001542020047
Referendum-COL-0010,4.0,3.0,6.0,31.0,21.0,51.0,8.306250000000003e-05,3.6e-05,31,21,51,0.043666666666666666,1.0,0.002726622137404581
CSRepetitions-COL-02,6.0,5.0,15.0,23.0,28.0,92.0,0.00012909374999999998,6.962499999999998e-05,23,28,92,0.07166666666666667,1.0,0.0027728197674418598
AirplaneLD-COL-0050,20.0,15.0,56.0,369.0,408.0,1553.0,0.0012360312500000002,0.000153125,369,408,1553,0.44566666666666666,1.0,0.003117029730740464
DatabaseWithMutex-COL-02,11.0,8.0,22.0,38.0,32.0,88.0,0.0001764375,0.00012428125,38,32,88,0.07233333333333333,1.0,0.004157402073732719
DatabaseWithMutex-COL-04,11.0,8.0,22.0,140.0,128.0,416.0,0.0005699375,0.00016512500000000002,140,128,416,0.16433333333333333,1.0,0.004472996957403651
Referendum-COL-0015,4.0,3.0,6.0,46.0,31.0,76.0,0.00010940625000000002,3.399999999999999e-05,46,31,76,0.02866666666666667,1.0,0.005002543604651162
CSRepetitions-COL-03,6.0,5.0,15.0,58.0,81.0,279.0,0.00029443750000000005,6.840625e-05,58,81,279,0.07166666666666667,1.0,0.005062936046511628
AirplaneLD-COL-0100,20.0,15.0,56.0,719.0,808.0,3078.0,0.0023314375,0.00015578125,719,808,3078,0.445,1.0,0.005589255617977529
FamilyReunion-COL-L00010M0001C001P001G001,104.0,66.0,198.0,1475.0,1234.0,3799.0,0.004522781250000001,0.00058896875,1486,1234,3799,0.9099999999999998,0.9959558823529412,0.005617307692307694
AirplaneLD-COL-0020,20.0,15.0,56.0,159.0,168.0,638.0,0.00055265625,0.00014818750000000002,159,168,638,0.11499999999999999,1.0,0.00609429347826087
Referendum-COL-0050,4.0,3.0,6.0,151.0,101.0,251.0,0.00028234374999999993,2.68125e-05,151,101,251,0.044333333333333336,1.0,0.006973449248120298
CSRepetitions-COL-04,6.0,5.0,15.0,117.0,176.0,624.0,0.0005888124999999999,7.465625e-05,117,176,624,0.07233333333333333,1.0,0.009172379032258064
AirplaneLD-COL-0200,20.0,15.0,56.0,1419.0,1608.0,6128.0,0.00462975,0.00014728124999999992,1419,1608,6128,0.4586666666666666,1.0,0.010415039062500001
Sudoku-COL-BN01,5.0,1.0,5.0,5.0,1.0,5.0,3.4468750000000015e-05,0.00011290625000000001,5,1,5,0.012333333333333335,1.0,0.011949324324324323
Sudoku-COL-AN02,4.0,1.0,4.0,20.0,8.0,32.0,7.46875e-05,7.018750000000002e-05,20,8,32,0.012000000000000002,1.0,0.012072916666666668
BridgeAndVehicles-COL-V80P50N50,15.0,11.0,56.0,228.0,8588.0,67470.0,0.03386021875,0.04229715625,228,8588,67470,5.6803333333333335,1.0,0.013407201748723665
BridgeAndVehicles-COL-V80P20N50,15.0,11.0,56.0,228.0,8588.0,67470.0,0.033954562500000014,0.04342812499999999,228,8588,67470,5.636333333333333,1.0,0.013729260305162933
LamportFastMutEx-COL-3,18.0,17.0,68.0,71.0,114.0,480.0,0.0005476249999999999,0.0012768125,100,156,664,0.126,0.72265625,0.014479662698412698
Sudoku-COL-AN04,4.0,1.0,4.0,112.0,64.0,256.0,0.00036868750000000004,6.81875e-05,112,64,256,0.030000000000000002,1.0,0.0145625
Referendum-COL-0020,4.0,3.0,6.0,61.0,41.0,101.0,0.00013431249999999994,2.7468749999999997e-05,61,41,101,0.011000000000000001,1.0,0.014707386363636355
CSRepetitions-COL-05,6.0,5.0,15.0,206.0,325.0,1175.0,0.0010549062499999999,6.631249999999999e-05,206,325,1175,0.07233333333333333,1.0,0.015500720046082947
SharedMemory-COL-000010,6.0,5.0,16.0,141.0,220.0,840.0,0.0007657500000000003,8.4e-05,141,220,840,0.05033333333333334,1.0,0.01688245033112583
DatabaseWithMutex-COL-10,11.0,8.0,22.0,830.0,800.0,3800.0,0.0037998749999999994,0.00026575,830,800,3800,0.19400000000000003,1.0,0.02095682989690721
Sudoku-COL-BN04,5.0,1.0,5.0,128.0,64.0,320.0,0.0006163750000000002,0.00044121874999999993,128,64,320,0.04700000000000001,1.0,0.022501994680851064
BridgeAndVehicles-COL-V50P20N50,15.0,11.0,56.0,168.0,5408.0,42330.0,0.021400281249999997,0.029567812500000002,168,5408,42330,2.1246666666666667,1.0,0.023988748235017256
BridgeAndVehicles-COL-V80P50N20,15.0,11.0,56.0,198.0,3728.0,28830.0,0.0144498125,0.038027281249999996,198,3728,28830,2.1666666666666665,1.0,0.024220197115384614
BridgeAndVehicles-COL-V50P50N50,15.0,11.0,56.0,168.0,5408.0,42330.0,0.021483406250000003,0.029617249999999994,168,5408,42330,2.092333333333333,1.0,0.02442280846742075
BridgeAndVehicles-COL-V80P20N20,15.0,11.0,56.0,198.0,3728.0,28830.0,0.0145741875,0.038810250000000004,198,3728,28830,2.156333333333333,1.0,0.024757043206059676
AirplaneLD-COL-0500,20.0,15.0,56.0,3519.0,4008.0,15278.0,0.01203228125,0.00015025000000000002,3519,4008,15278,0.45766666666666667,1.0,0.02661878641660597
Sudoku-COL-AN01,4.0,1.0,4.0,4.0,1.0,4.0,2.7124999999999995e-05,6.24375e-05,4,1,4,0.0033333333333333335,1.0,0.02686875
NeoElection-COL-8,18.0,22.0,98.0,671.0,1131.0,6669.0,0.007965093749999999,0.0050131875,10062,22428,130167,0.38033333333333336,0.05546321945213912,0.03412343886941279
Sudoku-COL-AN03,4.0,1.0,4.0,54.0,27.0,108.0,0.000173875,6.621875e-05,54,27,108,0.007000000000000002,1.0,0.03429910714285714
Sudoku-COL-BN16,5.0,1.0,5.0,5120.0,4096.0,20480.0,0.4720734375,0.008789,5120,4096,20480,13.995,1.0,0.03435958824580208
Referendum-COL-0100,4.0,3.0,6.0,301.0,201.0,501.0,0.0005482187500000001,3.115625e-05,301,201,501,0.016333333333333335,1.0,0.035471938775510206
CSRepetitions-COL-07,6.0,5.0,15.0,498.0,833.0,3087.0,0.002631875,6.715625e-05,498,833,3087,0.07366666666666667,1.0,0.03663843325791855
NeoElection-COL-2,18.0,22.0,98.0,41.0,21.0,89.0,0.00030762499999999996,0.0012589375,438,375,2106,0.041666666666666664,0.07626076260762607,0.037597500000000006
SafeBus-COL-03,20.0,14.0,68.0,60.0,97.0,568.0,0.0005032499999999999,0.0005016874999999999,60,97,568,0.026,1.0,0.0386514423076923
BridgeAndVehicles-COL-V80P20N10,15.0,11.0,56.0,188.0,2108.0,15950.0,0.008209531249999999,0.036634781250000005,188,2108,15950,1.157,1.0,0.03875912921348315
