name,Bplaces,Btransitions,Barcs,cfp-Aplaces,cfp-Atransitions,cfp-Aarcs,cfp-unfoldingtime,colorfixedpoint,trunk-Aplaces,trunk-Atransitions,trunk-Aarcs,trunk-unfoldingtime,size_ratio,unfolding_ratio
SharedMemory-COL-001000,6,5,16,1004001,2002000,8004000,9.791237187499998,8.440625e-05,1004001.0,2002000.0,8004000.0,215.78878125000003,1.0,0.04537456274154659
SharedMemory-COL-000500,6,5,16,252001,501000,2002000,2.370216875,8.171874999999999e-05,252001.0,501000.0,2002000.0,14.725990625000001,1.0,0.16096021341518407
FamilyReunion-COL-L01200M0120C060P060G030,104,66,198,4612908,4405329,13507769,24.320678125,0.0006045937499999999,4614109.0,4405329.0,13507769.0,138.92840625,0.9998668431447725,0.17506342565381586
FamilyReunion-COL-L00800M0080C040P040G020,104,66,198,2075308,1976909,6061249,10.680144999999998,0.0006126562499999999,2076109.0,1976909.0,6061249.0,32.75216249999999,0.9998023694935477,0.32610847165435264
SafeBus-COL-80,20,14,68,13766,550801,4308564,2.6923987499999997,0.5396450937499999,13766.0,550801.0,4308564.0,6.88255,1.0,0.4695997622610805
SharedMemory-COL-000200,6,5,16,40801,80400,320800,0.32647809375000003,8.678125000000001e-05,40801.0,80400.0,320800.0,0.6311875312500002,1.0,0.5173816953469801
SafeBus-COL-50,20,14,68,5606,140251,1083354,0.6577751562499999,0.1370668125,5606.0,140251.0,1083354.0,1.2807368749999999,1.0,0.6206130113572313
NeoElection-COL-2,18,22,98,41,21,89,0.0003085,0.0012588749999999998,438.0,375.0,2106.0,0.0024661874999999996,0.07626076260762607,0.6355457563546972
NeoElection-COL-3,18,22,98,84,60,300,0.0006396249999999999,0.0038970625,972.0,1048.0,6032.0,0.006810718749999999,0.07128712871287128,0.6661099461785881
FamilyReunion-COL-L00400M0040C020P020G001,104,66,198,537708,508489,1558729,2.8783690625,0.0005940625,538109.0,508489.0,1558729.0,4.03778875,0.9996168538445516,0.7130048903623302
NeoElection-COL-4,18,22,98,145,130,698,0.0012270625000000003,0.010313156249999997,1830.0,2390.0,13865.0,0.015269124999999998,0.06516587677725119,0.755787823467291
NeoElection-COL-5,18,22,98,224,240,1340,0.0021784375,0.02300715625,3090.0,4746.0,27594.0,0.03080296875,0.059213884635017866,0.8176352725741736
SharedMemory-COL-000100,6,5,16,10401,20200,80400,0.07207681249999999,7.653125000000002e-05,10401.0,20200.0,80400.0,0.08707206250000002,1.0,0.8286623938648515
FamilyReunion-COL-L00200M0020C010P010G005,104,66,198,143908,134279,411469,0.67832028125,0.00059884375,144109.0,134279.0,411469.0,0.7805230937499998,0.9992779861200913,0.8698258007180202
Philosophers-COL-100000,5,5,15,500000,500000,1600000,10.756946874999999,7.840625e-05,500000.0,500000.0,1600000.0,12.166037500000002,1.0,0.8841847874667489
NeoElection-COL-6,18,22,98,321,399,2283,0.003471281249999999,0.046211562500000004,4830.0,8533.0,49616.0,0.0548725,0.053880116740252934,0.9054233678071895
Referendum-COL-1000,4,3,6,3001,2001,5001,0.0053376875,2.9031250000000008e-05,3001.0,2001.0,5001.0,0.00569334375,1.0,0.9426303742857616
Philosophers-COL-050000,5,5,15,250000,250000,800000,3.3952053124999995,7.556249999999999e-05,250000.0,250000.0,800000.0,3.5837065625,1.0,0.9474215636202774
SafeBus-COL-20,20,14,68,1046,10501,77544,0.04394034375000001,0.011991656250000001,1046.0,10501.0,77544.0,0.05800384374999999,1.0,0.9642809231931293
NeoElection-COL-7,18,22,98,436,616,3584,0.005327906250000001,0.08476937500000001,7128.0,14240.0,82736.0,0.09258718749999999,0.0492324971920629,0.9731074426469647
FamilyReunion-COL-L00100M0010C005P005G002,104,66,198,40605,36871,112728,0.16058015625000002,0.0005973125,40706.0,36871.0,112728.0,0.16148865624999997,0.998698067726259,0.9980730070629964
Referendum-COL-0500,4,3,6,1501,1001,2501,0.002592375,2.878125e-05,1501.0,1001.0,2501.0,0.0026189062499999993,1.0,1.0008591372829787
DrinkVendingMachine-COL-24,6,7,28,288,8308944,80375328,44.140584374999996,0.00020543750000000003,288.0,8308944.0,80375328.0,43.93735937500001,1.0,1.0046300105512427
GlobalResAllocation-COL-06,5,7,29,102,136662,1226388,0.8255176874999999,0.0002375937499999999,102.0,136662.0,1226388.0,0.8201120624999999,1.0,1.0068810337123897
SharedMemory-COL-000050,6,5,16,2701,5100,20200,0.016451249999999997,7.543750000000001e-05,2701.0,5100.0,20200.0,0.016372124999999998,1.0,1.0094405888056681
PolyORBNT-COL-S10J30,48,38,140,664,12050,112559,0.07183968749999999,0.0005196875,694.0,12080.0,112619.0,0.07149609374999998,0.9953029591357445,1.012074523302191
PolyORBNT-COL-S10J80,48,38,140,1614,13500,119759,0.0781385,0.0005159062499999999,1694.0,13580.0,119919.0,0.07768771875,0.9895246824669373,1.0124432473440341
AirplaneLD-COL-4000,20,15,56,28019,32008,122028,0.142064,0.0001625625,28019.0,32008.0,122028.0,0.1398123125,1.0,1.0172677924914515
PolyORBNT-COL-S10J20,48,38,140,474,11760,111119,0.07044496875,0.0005296875000000001,494.0,11780.0,111159.0,0.0696324375,0.9967410787029494,1.0192757685669125
GlobalResAllocation-COL-07,5,7,29,133,291067,2652580,1.7995687499999997,0.00023556249999999999,133.0,291067.0,2652580.0,1.7606550000000003,1.0,1.022235652356651
GlobalResAllocation-COL-03,5,7,29,33,4791,38652,0.0256690625,0.00024087500000000004,33.0,4791.0,38652.0,0.025313281250000003,1.0,1.0235708774420542
Philosophers-COL-010000,5,5,15,50000,50000,160000,0.29334675000000004,6.784374999999999e-05,50000.0,50000.0,160000.0,0.2866202187500001,1.0,1.0237051490283253
DrinkVendingMachine-COL-10,6,7,28,120,111160,1026520,0.5512037812500002,0.00020153125,120.0,111160.0,1026520.0,0.53805965625,1.0,1.0248033021895986
PolyORBNT-COL-S10J40,48,38,140,854,12340,113999,0.07275928125,0.0005234375,894.0,12380.0,114079.0,0.07131590625000002,0.9939731806539099,1.0275788755050699
PolyORBNT-COL-S10J60,48,38,140,1234,12920,116879,0.07605446875,0.0005287187499999999,1294.0,12980.0,116999.0,0.07452696875,0.9915931063472047,1.027590264094835
DatabaseWithMutex-COL-40,11,8,22,12920,12800,156800,0.13400715625,0.0008599687500000002,12920.0,12800.0,156800.0,0.1307023125,1.0,1.0318648723219799
GlobalResAllocation-COL-10,5,7,29,250,1688410,15821020,10.676134375,0.00024596875,250.0,1688410.0,15821020.0,10.337165625000003,1.0,1.0328150608257278
GlobalResAllocation-COL-05,5,7,29,75,56105,492760,0.3244500625,0.0002336875,75.0,56105.0,492760.0,0.31371390624999995,1.0,1.034967668093292
GlobalResAllocation-COL-11,5,7,29,297,2705087,25497868,17.372740625,0.000240375,297.0,2705087.0,25497868.0,16.77205625,1.0,1.0358289252696729
NeoElection-COL-8,18,22,98,569,900,5300,0.007683906249999998,0.14549359374999996,10062.0,22428.0,130167.0,0.14738075000000003,0.045213911972914744,1.0393317987593356
