name,Bplaces,Btransitions,Barcs,cfp-Aplaces,cfp-Atransitions,cfp-Aarcs,cfp-unfoldingtime,colorfixedpoint,trunk-Aplaces,trunk-Atransitions,trunk-Aarcs,trunk-unfoldingtime,size_ratio,unfolding_ratio
SharedMemory-COL-000050,6,5,16,2701,5100,20200,0.016927031249999995,8.453125000000001e-05,2701.0,5100.0,20200.0,0.016372124999999998,1.0,1.0390564755644118
GlobalResAllocation-COL-05,5,7,29,75,56105,492760,0.32597796874999996,0.00023340625000000003,75.0,56105.0,492760.0,0.31371390624999995,1.0,1.0398371525808
PhilosophersDyn-COL-10,8,7,33,170,2310,18190,0.010863281250000004,0.00021240625,170.0,2310.0,18190.0,0.010588437500000004,1.0,1.046017176755305
CSRepetitions-COL-10,6,5,15,1311,2300,8700,0.00728375,7.218749999999999e-05,1311.0,2300.0,8700.0,0.007005843750000001,1.0,1.0499716754316708
Philosophers-COL-005000,5,5,15,25000,25000,80000,0.10867043750000001,6.934374999999999e-05,25000.0,25000.0,80000.0,0.10342012500000003,1.0,1.0514373411364566
DrinkVendingMachine-COL-16,6,7,28,192,1118560,10642624,6.300750625000001,0.00022478124999999996,192.0,1118560.0,10642624.0,5.986439687500001,1.0,1.052541366015391
AirplaneLD-COL-4000,20,15,56,28019,32008,122028,0.14769543749999997,0.00016675000000000001,28019.0,32008.0,122028.0,0.1398123125,1.0,1.057576295363829
GlobalResAllocation-COL-09,5,7,29,207,1003437,9334944,6.408363124999998,0.00023646875000000005,207.0,1003437.0,9334944.0,6.051768125000001,1.0,1.0589631759478553
Philosophers-COL-001000,5,5,15,5000,5000,16000,0.014955687500000002,7.090625e-05,5000.0,5000.0,16000.0,0.014160812499999996,1.0,1.0611392354781908
AirplaneLD-COL-1000,20,15,56,7019,8008,30528,0.025531218749999997,0.00016509375,7019.0,8008.0,30528.0,0.024209562499999997,1.0,1.0614116839162213
PhilosophersDyn-COL-20,8,7,33,540,17220,140780,0.08385024999999999,0.00020346875,540.0,17220.0,140780.0,0.07908974999999999,1.0,1.0627637430893384
Philosophers-COL-000500,5,5,15,2500,2500,8000,0.007014375000000001,7.118749999999998e-05,2500.0,2500.0,8000.0,0.006664343750000002,1.0,1.0632048354348467
Referendum-COL-0200,4,3,6,601,401,1001,0.0010593125,2.5968749999999998e-05,601.0,401.0,1001.0,0.0010200937500000002,1.0,1.063903440247526
AirplaneLD-COL-0500,20,15,56,3519,4008,15278,0.01203228125,0.00015025000000000002,3519.0,4008.0,15278.0,0.011417718750000002,1.0,1.0669847030519997
PolyORBLF-COL-S06J04T06,81,65,254,632,10500,88770,0.06061874999999998,0.002111875,632.0,10500.0,88770.0,0.05856446874999999,1.0,1.0711379500048823
PolyORBLF-COL-S06J04T08,81,65,254,810,14014,118428,0.08177812499999998,0.0026314375,810.0,14014.0,118428.0,0.0786276875,1.0,1.0735348473780306
PolyORBLF-COL-S06J06T06,81,65,254,700,10740,89778,0.062396749999999994,0.00212834375,700.0,10740.0,89778.0,0.059899562499999996,1.0,1.0772214529947528
AirplaneLD-COL-0200,20,15,56,1419,1608,6128,0.00462975,0.00014728124999999992,1419.0,1608.0,6128.0,0.004426656249999999,1.0,1.0791511651712284
Philosophers-COL-000200,5,5,15,1000,1000,3200,0.002775562499999999,7.025e-05,1000.0,1000.0,3200.0,0.0026254687500000006,1.0,1.0839254894959227
PolyORBLF-COL-S06J04T04,81,65,254,454,6994,59152,0.04069696874999999,0.0015392812500000003,454.0,6994.0,59152.0,0.038892437499999995,1.0,1.0859759046986963
TokenRing-COL-200,1,2,4,40401,8040201,32160804,38.756628125,0.005887812499999999,40401.0,8040201.0,32160804.0,35.680503125,1.0,1.086378064841259
PolyORBLF-COL-S06J06T04,81,65,254,506,7154,59824,0.04181649999999999,0.00156103125,506.0,7154.0,59824.0,0.039784531250000005,1.0,1.0903114825564266
