,name,Bplaces,Btransitions,Barcs,cfp-Aplaces,cfp-Atransitions,cfp-Aarcs,cfp-unfoldingtime,colorfixedpoint,trunk-Aplaces,trunk-Atransitions,trunk-Aarcs,trunk-unfoldingtime,size_ratio,unfolding_ratio
CSRepetitions-COL-04,CSRepetitions-COL-04,6.0,5.0,15.0,117.0,176.0,624.0,0.0005810937500000003,6.221874999999999e-05,117.0,176.0,624.0,0.0005259375000000001,1.0,1.223172905525847
SafeBus-COL-10,SafeBus-COL-10,20.0,14.0,68.0,326.0,1651.0,11474.0,0.00683384375,0.00235934375,326.0,1651.0,11474.0,0.007412656250000002,1.0,1.2402015134588222
AirplaneLD-COL-0050,AirplaneLD-COL-0050,20.0,15.0,56.0,369.0,408.0,1553.0,0.0012525625,0.00016215625,369.0,408.0,1553.0,0.0011334375,1.0,1.24816652881169
FamilyReunion-COL-L00010M0001C001P001G001,FamilyReunion-COL-L00010M0001C001P001G001,104.0,66.0,198.0,1475.0,1234.0,3799.0,0.004554718750000001,0.0005909999999999998,1486.0,1234.0,3799.0,0.0041164999999999995,0.9959558823529412,1.2500227742013847
SharedMemory-COL-000010,SharedMemory-COL-000010,6.0,5.0,16.0,141.0,220.0,840.0,0.000777375,8.040624999999999e-05,141.0,220.0,840.0,0.0006770312499999997,1.0,1.2669743826448194
Referendum-COL-0020,Referendum-COL-0020,4.0,3.0,6.0,61.0,41.0,101.0,0.00013343749999999998,2.6937500000000008e-05,61.0,41.0,101.0,0.00012165624999999999,1.0,1.3182635499614692
Philosophers-COL-000020,Philosophers-COL-000020,5.0,5.0,15.0,100.0,100.0,320.0,0.00031515625,6.196875e-05,100.0,100.0,320.0,0.00028418750000000004,1.0,1.3270288102045302
Referendum-COL-0015,Referendum-COL-0015,4.0,3.0,6.0,46.0,31.0,76.0,0.000107875,2.790625000000001e-05,46.0,31.0,76.0,9.903125000000003e-05,1.0,1.3710949826443672
PermAdmissibility-COL-01,PermAdmissibility-COL-01,40.0,16.0,83.0,168.0,592.0,3456.0,0.0022831874999999996,0.0019865000000000004,208.0,1024.0,5984.0,0.0031140312499999996,0.6168831168831169,1.371112605244408
AirplaneLD-COL-0020,AirplaneLD-COL-0020,20.0,15.0,56.0,159.0,168.0,638.0,0.0005585624999999999,0.00015090625,159.0,168.0,638.0,0.00050840625,1.0,1.3954760587620627
CSRepetitions-COL-03,CSRepetitions-COL-03,6.0,5.0,15.0,58.0,81.0,279.0,0.0002978125,6.809375000000001e-05,58.0,81.0,279.0,0.00025703124999999994,1.0,1.423586626139818
DatabaseWithMutex-COL-04,DatabaseWithMutex-COL-04,11.0,8.0,22.0,140.0,128.0,416.0,0.00056496875,0.00016181250000000004,140.0,128.0,416.0,0.00049271875,1.0,1.47504281093423
Philosophers-COL-000010,Philosophers-COL-000010,5.0,5.0,15.0,50.0,50.0,160.0,0.00017128125,6.15625e-05,50.0,50.0,160.0,0.00015049999999999997,1.0,1.5471345514950168
Referendum-COL-0010,Referendum-COL-0010,4.0,3.0,6.0,31.0,21.0,51.0,8.215625e-05,3.059375000000001e-05,31.0,21.0,51.0,7.275e-05,1.0,1.549828178694158
PermAdmissibility-COL-10,PermAdmissibility-COL-10,40.0,16.0,83.0,168.0,592.0,3456.0,0.0022815,0.0025687187499999994,208.0,1024.0,5984.0,0.0031163125,0.6168831168831169,1.5563967830568979
PermAdmissibility-COL-50,PermAdmissibility-COL-50,40.0,16.0,83.0,168.0,592.0,3456.0,0.00228675,0.0025617187500000006,208.0,1024.0,5984.0,0.0031081875,0.6168831168831169,1.5599022742353867
SafeBus-COL-06,SafeBus-COL-06,20.0,14.0,68.0,150.0,463.0,3022.0,0.00205009375,0.0010195625,150.0,463.0,3022.0,0.0019617812500000004,1.0,1.5647291205377762
SharedMemory-COL-000005,SharedMemory-COL-000005,6.0,5.0,16.0,46.0,60.0,220.0,0.00024331249999999998,8.346875e-05,46.0,60.0,220.0,0.00020153125,1.0,1.6214917041401766
AirplaneLD-COL-0010,AirplaneLD-COL-0010,20.0,15.0,56.0,89.0,88.0,333.0,0.00032887499999999996,0.00015299999999999998,89.0,88.0,333.0,0.00029053125,1.0,1.658599548241368
PermAdmissibility-COL-05,PermAdmissibility-COL-05,40.0,16.0,83.0,168.0,592.0,3456.0,0.0022936562500000006,0.0028614687499999994,208.0,1024.0,5984.0,0.0031035312500000004,0.6168831168831169,1.661051423277919
PermAdmissibility-COL-20,PermAdmissibility-COL-20,40.0,16.0,83.0,168.0,592.0,3456.0,0.0022915624999999998,0.002865062499999999,208.0,1024.0,5984.0,0.0031041249999999992,0.6168831168831169,1.6612169290862966
PhilosophersDyn-COL-03,PhilosophersDyn-COL-03,8.0,7.0,33.0,30.0,84.0,564.0,0.00048259375000000006,0.00021031249999999994,30.0,84.0,564.0,0.0004154374999999999,1.0,1.6678952911087712
PolyORBLF-COL-S02J06T10,PolyORBLF-COL-S02J06T10,81.0,65.0,254.0,844.0,1812.0,8302.0,0.007255906249999999,0.0032401250000000004,844.0,1812.0,8302.0,0.006127406250000001,1.0,1.7129648046430734
CSRepetitions-COL-02,CSRepetitions-COL-02,6.0,5.0,15.0,23.0,28.0,92.0,0.00012706249999999998,6.334374999999998e-05,23.0,28.0,92.0,0.000110875,1.0,1.7173055242390076
PolyORBLF-COL-S02J06T08,PolyORBLF-COL-S02J06T08,81.0,65.0,254.0,690.0,1434.0,6564.0,0.005748781250000002,0.0026309062499999996,690.0,1434.0,6564.0,0.0048587187499999985,1.0,1.7246702126975355
PolyORBLF-COL-S02J06T06,PolyORBLF-COL-S02J06T06,81.0,65.0,254.0,536.0,1064.0,4866.0,0.00436584375,0.0020914062500000004,536.0,1064.0,4866.0,0.0037339375000000003,1.0,1.729340675895084
PolyORBLF-COL-S02J04T10,PolyORBLF-COL-S02J04T10,81.0,65.0,254.0,752.0,1572.0,7262.0,0.006318031249999998,0.003274125,752.0,1572.0,7262.0,0.005371812500000001,1.0,1.7856461389894
PolyORBLF-COL-S02J04T08,PolyORBLF-COL-S02J04T08,81.0,65.0,254.0,614.0,1242.0,5732.0,0.0050383749999999995,0.0026026249999999995,614.0,1242.0,5732.0,0.00427121875,1.0,1.7889507532247086
