name,Bplaces,Btransitions,Barcs,cfp-Aplaces,cfp-Atransitions,cfp-Aarcs,cfp-unfoldingtime,colorfixedpoint,trunk-Aplaces,trunk-Atransitions,trunk-Aarcs,trunk-unfoldingtime,size_ratio,unfolding_ratio
SharedMemory-COL-001000,6,5,16,1004001,2002000,8004000,10.160263750000002,8.878125000000002e-05,1004001.0,2002000.0,8004000.0,215.78878125000003,1.0,0.0470847115980456
SharedMemory-COL-000500,6,5,16,252001,501000,2002000,2.501898125,8.44375e-05,252001.0,501000.0,2002000.0,14.725990625000001,1.0,0.16990249594838375
FamilyReunion-COL-L01200M0120C060P060G030,104,66,198,4612908,4405329,13507769,24.3539875,0.0006075624999999998,4614109.0,4405329.0,13507769.0,138.92840625,0.9998668431447725,0.175303206305226
FamilyReunion-COL-L00800M0080C040P040G020,104,66,198,2075308,1976909,6061249,10.892854375000002,0.0005969062499999999,2076109.0,1976909.0,6061249.0,32.75216249999999,0.9998023694935477,0.3326025046819429
NeoElection-COL-5,18,22,98,248,297,1653,0.0023196562499999997,0.012071656250000002,3090.0,4746.0,27594.0,0.03080296875,0.0695507912200102,0.46720537285874436
NeoElection-COL-8,18,22,98,613,1063,6223,0.008154062499999998,0.06358628125,10062.0,22428.0,130167.0,0.14738075000000003,0.05158510310864881,0.48676875202494213
SharedMemory-COL-000200,6,5,16,40801,80400,320800,0.33876365625,8.44375e-05,40801.0,80400.0,320800.0,0.6311875312500002,1.0,0.5368421855212303
NeoElection-COL-7,18,22,98,474,741,4289,0.0057087499999999985,0.045210218749999996,7128.0,14240.0,82736.0,0.09258718749999999,0.05686072631973044,0.5499569662379041
NeoElection-COL-6,18,22,98,351,483,2751,0.0038745624999999995,0.02991578125,4830.0,8533.0,49616.0,0.0548725,0.06241113522412632,0.6157974167388036
SafeBus-COL-50,20,14,68,5606,140251,1083354,0.66860321875,0.13686499999999993,5606.0,140251.0,1083354.0,1.2807368749999999,1.0,0.6289099927336752
NeoElection-COL-2,18,22,98,41,21,89,0.000306125,0.0012557500000000001,438.0,375.0,2106.0,0.0024661874999999996,0.07626076260762607,0.6333155934007452
NeoElection-COL-3,18,22,98,84,60,300,0.0006448124999999999,0.0038982812500000007,972.0,1048.0,6032.0,0.006810718749999999,0.07128712871287128,0.6670505590911386
FamilyReunion-COL-L00400M0040C020P020G001,104,66,198,537708,508489,1558729,2.8457262500000007,0.0005945625,538109.0,508489.0,1558729.0,4.03778875,0.9996168538445516,0.7049206852389196
NeoElection-COL-4,18,22,98,145,130,698,0.0012069375,0.01034984375,1830.0,2390.0,13865.0,0.015269124999999998,0.06516587677725119,0.7568725287139899
SharedMemory-COL-000100,6,5,16,10401,20200,80400,0.07631112500000001,8.14375e-05,10401.0,20200.0,80400.0,0.08707206250000002,1.0,0.8773487190567008
Philosophers-COL-100000,5,5,15,500000,500000,1600000,10.797131249999998,7.931250000000001e-05,500000.0,500000.0,1600000.0,12.166037500000002,1.0,0.8874878581049908
FamilyReunion-COL-L00200M0020C010P010G005,104,66,198,143908,134279,411469,0.7194090312500001,0.0006063749999999999,144109.0,134279.0,411469.0,0.7805230937499998,0.9992779861200913,0.9224780304586604
Referendum-COL-1000,4,3,6,3001,2001,5001,0.005332656250000001,2.8687500000000006e-05,3001.0,2001.0,5001.0,0.00569334375,1.0,0.9416862893620292
