,name,Btransitions,Barcs,pw-Aplaces,pw-Atransitions,pw-Aarcs,pw-unfoldingtime,pw-colorfixedpoint,cfp-Bplaces,vd-Aplaces,vd-Atransitions,vd-Aarcs,vd-unfoldingtime,vd-colorfixedpoint,size_ratio,unfolding_ratio
Philosophers-COL-010000,Philosophers-COL-010000,5.0,15.0,50000.0,50000.0,160000.0,0.20868234375000005,94.81562812500002,5.0,50000,50000,160000,0.29334675000000004,6.784374999999999e-05,1.0,0.00308778450801275
Philosophers-COL-005000,Philosophers-COL-005000,5.0,15.0,25000.0,25000.0,80000.0,0.09043493749999999,23.463403124999996,5.0,25000,25000,80000,0.10747240625,7.646875e-05,1.0,0.004566087051911437
Philosophers-COL-002000,Philosophers-COL-002000,5.0,15.0,10000.0,10000.0,32000.0,0.04400174999999999,3.6998387500000005,5.0,10000,10000,32000,0.032636562499999994,6.399999999999997e-05,1.0,0.008734496701982895
Philosophers-COL-000005,Philosophers-COL-000005,5.0,15.0,25.0,25.0,80.0,0.014671562499999999,0.00010171874999999999,5.0,25,25,80,0.00010337500000000002,6.340625e-05,1.0,0.011289384340394929
SafeBus-COL-50,SafeBus-COL-50,14.0,68.0,5556.0,140151.0,1082904.0,0.9714594374999999,64.108946875,20.0,5606,140251,1083354,0.6577751562499999,0.1370668125,1.0010294632378678,0.012213229968684668
SharedMemory-COL-000200,SharedMemory-COL-000200,5.0,16.0,40601.0,80200.0,320000.0,0.29320303124999986,21.669275,6.0,40801,80400,320800,0.32647809375000003,8.678125000000001e-05,1.0033112308672942,0.014869218060700483
Philosophers-COL-001000,Philosophers-COL-001000,5.0,15.0,5000.0,5000.0,16000.0,0.0188914375,0.9284790624999999,5.0,5000,5000,16000,0.0152053125,6.35e-05,1.0,0.016117044493152363
FamilyReunion-COL-L00200M0020C010P010G005,FamilyReunion-COL-L00200M0020C010P010G005,66.0,198.0,143908.0,134279.0,411469.0,0.6167949062500001,24.681615625,104.0,143908,134279,411469,0.67832028125,0.00059884375,1.0,0.02683643401870491
Sudoku-COL-BN16,Sudoku-COL-BN16,1.0,5.0,5120.0,4096.0,20480.0,0.0206275,17.69588125,5.0,5120,4096,20480,0.471042375,0.008457,1.0,0.027065116596406164
Philosophers-COL-000500,Philosophers-COL-000500,5.0,15.0,2500.0,2500.0,8000.0,0.010873562500000001,0.2343076875,5.0,2500,2500,8000,0.006964406249999998,6.98125e-05,1.0,0.028689872288358096
Sudoku-COL-AN16,Sudoku-COL-AN16,1.0,4.0,4864.0,4096.0,16384.0,0.019016437499999997,0.6580675937500001,4.0,4864,4096,16384,0.0202363125,7.4625e-05,1.0,0.029997661387025944
Sudoku-COL-AN15,Sudoku-COL-AN15,1.0,4.0,4050.0,3375.0,13500.0,0.016349375,0.4761996562500001,4.0,4050,3375,13500,0.016340593750000004,7.403125e-05,1.0,0.03332587003235528
Sudoku-COL-AN14,Sudoku-COL-AN14,1.0,4.0,3332.0,2744.0,10976.0,0.012611187500000004,0.34107609375,4.0,3332,2744,10976,0.013092781250000005,6.940625000000001e-05,1.0,0.03721419513159269
Sudoku-COL-BN09,Sudoku-COL-BN09,1.0,5.0,1053.0,729.0,3645.0,0.00388359375,0.59423965625,5.0,1053,729,3645,0.020832312499999995,0.0022794062500000006,1.0,0.03864039518610921
Sudoku-COL-AN13,Sudoku-COL-AN13,1.0,4.0,2704.0,2197.0,8788.0,0.024312218749999996,0.23849753124999998,4.0,2704,2197,8788,0.010620187499999998,6.859375e-05,1.0,0.040671174680543626
Sudoku-COL-AN08,Sudoku-COL-AN08,1.0,4.0,704.0,512.0,2048.0,0.03362128125,0.023545718749999996,4.0,704,512,2048,0.00252340625,6.824999999999998e-05,1.0,0.04533483040915214
TokenRing-COL-050,TokenRing-COL-050,2.0,4.0,2601.0,127551.0,510204.0,0.5165245,210.82259374999998,1.0,2601,127551,510204,0.5293169687499999,9.252534375000003,1.0,0.04628509584382163
SafeBus-COL-03,SafeBus-COL-03,14.0,68.0,57.0,91.0,541.0,0.0004151250000000001,0.021215093750000004,20.0,60,97,568,0.0005054999999999999,0.0005111250000000001,1.0608108108108107,0.04700021815544514
Sudoku-COL-AN12,Sudoku-COL-AN12,1.0,4.0,2160.0,1728.0,6912.0,0.010327343749999999,0.16156931250000003,4.0,2160,1728,6912,0.00823403125,6.453125e-05,1.0,0.048276462620255284
Sudoku-COL-AN11,Sudoku-COL-AN11,1.0,4.0,1694.0,1331.0,5324.0,0.006230312500000001,0.10706646874999999,4.0,1694,1331,5324,0.006310437499999998,7.634375e-05,1.0,0.05637213325510956
SafeBus-COL-20,SafeBus-COL-20,14.0,68.0,1026.0,10461.0,77364.0,0.041328593749999996,0.9127322499999998,20.0,1046,10501,77544,0.04394034375000001,0.011991656250000001,1.0052232958997127,0.058625191848515196
Philosophers-COL-000200,Philosophers-COL-000200,5.0,15.0,1000.0,1000.0,3200.0,0.00579628125,0.038443375,5.0,1000,1000,3200,0.0027805,6.918749999999997e-05,1.0,0.06441477492266906
Sudoku-COL-AN10,Sudoku-COL-AN10,1.0,4.0,1300.0,1000.0,4000.0,0.004767031250000001,0.06728487500000001,4.0,1300,1000,4000,0.00484075,6.540625000000001e-05,1.0,0.06809197015519627
PhilosophersDyn-COL-80,PhilosophersDyn-COL-80,7.0,33.0,6960.0,1043280.0,8780720.0,5.608830312500001,80.72085312499999,8.0,6960,1043280,8780720,6.335464375,0.000209125,1.0,0.07338928219963682
DatabaseWithMutex-COL-04,DatabaseWithMutex-COL-04,8.0,22.0,140.0,128.0,416.0,0.0005327187499999999,0.009141312500000002,11.0,140,128,416,0.0005643125000000001,0.00015734374999999999,1.0,0.07459726264580756
Philosophers-COL-000100,Philosophers-COL-000100,5.0,15.0,500.0,500.0,1600.0,0.009134062500000002,0.010185687499999997,5.0,500,500,1600,0.0014163437500000003,6.859375e-05,1.0,0.07686111362724676
Sudoku-COL-AN09,Sudoku-COL-AN09,1.0,4.0,972.0,729.0,2916.0,0.0034134999999999994,0.0411890625,4.0,972,729,2916,0.0035621562499999994,6.334375e-05,1.0,0.08128456745058088
Philosophers-COL-000050,Philosophers-COL-000050,5.0,15.0,250.0,250.0,800.0,0.006941468749999999,0.00282896875,5.0,250,250,800,0.0007263124999999997,7.537499999999999e-05,1.0,0.0820523645947277
FamilyReunion-COL-L00100M0010C005P005G002,FamilyReunion-COL-L00100M0010C005P005G002,66.0,198.0,40605.0,36871.0,112728.0,0.15531796875,1.7721587499999998,104.0,40605,36871,112728,0.16058015625000002,0.0005973125,1.0,0.08362096786026357
SharedMemory-COL-000100,SharedMemory-COL-000100,5.0,16.0,10301.0,20100.0,80000.0,0.0660503125,0.76765875,6.0,10401,20200,80400,0.07207681249999999,7.653125000000002e-05,1.0065787309627974,0.08654499152694528
SafeBus-COL-15,SafeBus-COL-15,14.0,68.0,621.0,4771.0,34549.0,0.018245499999999994,0.27553825,20.0,636,4801,34684,0.0200075,0.006451874999999999,1.008345697329377,0.09006412029256215
PhilosophersDyn-COL-50,PhilosophersDyn-COL-50,7.0,33.0,2850.0,257550.0,2154950.0,1.4026699999999999,13.510821875000005,8.0,2850,257550,2154950,1.543114375,0.00020343750000000006,1.0,0.10348467182840769
Sudoku-COL-AN07,Sudoku-COL-AN07,1.0,4.0,490.0,343.0,1372.0,0.0016579375,0.012823218749999999,4.0,490,343,1372,0.001730625,6.696875e-05,1.0,0.1241333025461969
TokenRing-COL-040,TokenRing-COL-040,2.0,4.0,1681.0,65641.0,262564.0,0.2611728125,70.24210312499999,1.0,1681,65641,262564,0.26207546875,8.5351175,1.0,0.12477708094796289
PhilosophersDyn-COL-03,PhilosophersDyn-COL-03,7.0,33.0,30.0,84.0,564.0,0.00042784374999999995,0.0046932812499999995,8.0,30,84,564,0.00048265625,0.00021234374999999994,1.0,0.13571236788791524
QuasiCertifProtocol-COL-02,QuasiCertifProtocol-COL-02,26.0,77.0,86.0,56.0,223.0,0.0002615,0.00380740625,30.0,86,56,223,0.0002933125,0.000319875,1.0,0.15070081794093929
Sudoku-COL-AN06,Sudoku-COL-AN06,1.0,4.0,324.0,216.0,864.0,0.001089375,0.006440250000000001,4.0,324,216,864,0.0011177500000000003,6.528124999999999e-05,1.0,0.1571168882912496
Sudoku-COL-BN04,Sudoku-COL-BN04,1.0,5.0,128.0,64.0,320.0,0.00042068749999999995,0.0062251875,5.0,128,64,320,0.00062365625,0.00045853124999999995,1.0,0.16283596968044084
DatabaseWithMutex-COL-40,DatabaseWithMutex-COL-40,8.0,22.0,12920.0,12800.0,156800.0,0.12171128124999997,0.63164271875,11.0,12920,12800,156800,0.13400715625,0.0008599687500000002,1.0,0.17902224584989263
PhilosophersDyn-COL-20,PhilosophersDyn-COL-20,7.0,33.0,540.0,17220.0,140780.0,0.0813515625,0.3821262187500001,8.0,540,17220,140780,0.08414890625000002,0.00020571875,1.0,0.18200360063107127
SafeBus-COL-10,SafeBus-COL-10,14.0,68.0,316.0,1631.0,11384.0,0.006160906250000001,0.04511671875000001,20.0,326,1651,11474,0.006936374999999999,0.00243609375,1.0154083204930662,0.1827789167302502
Sudoku-COL-AN05,Sudoku-COL-AN05,1.0,4.0,200.0,125.0,500.0,0.0006748437499999999,0.002939718750000001,4.0,200,125,500,0.0006665625000000001,6.156249999999999e-05,1.0,0.20144208323967283
FamilyReunion-COL-L00050M0005C002P002G001,FamilyReunion-COL-L00050M0005C002P002G001,66.0,198.0,12194.0,10560.0,32238.0,0.03820984375000001,0.15639265624999998,104.0,12194,10560,32238,0.03988065624999999,0.00059246875,1.0,0.20797844323685458
BART-COL-050,BART-COL-050,7.0,26.0,6872.0,10100.0,81000.0,0.08886015625000002,27.43165625,4.0,7723,10750,87300,0.09341656250000001,6.159001875,1.0884397831722838,0.22719117422084623
SafeBus-COL-06,SafeBus-COL-06,14.0,68.0,144.0,451.0,2968.0,0.0017715625000000006,0.01057021875,20.0,150,463,3022,0.0020313437499999997,0.000998875,1.030252100840336,0.2455252356704993
CSRepetitions-COL-10,CSRepetitions-COL-10,5.0,15.0,1311.0,2300.0,8700.0,0.0068555937500000014,0.02305196875,6.0,1311,2300,8700,0.007301968749999999,7.012499999999998e-05,1.0,0.24649597405338533
SharedMemory-COL-000050,SharedMemory-COL-000050,5.0,16.0,2651.0,5050.0,20000.0,0.015230312500000004,0.049159343749999994,6.0,2701,5100,20200,0.016451249999999997,7.543750000000001e-05,1.0129853265809634,0.25666680741132236
QuasiCertifProtocol-COL-06,QuasiCertifProtocol-COL-06,26.0,77.0,270.0,116.0,659.0,0.0006506874999999998,0.0077789999999999995,30.0,270,116,659,0.0006859374999999999,0.00151425,1.0,0.26100463392029655
PhilosophersDyn-COL-10,PhilosophersDyn-COL-10,7.0,33.0,170.0,2310.0,18190.0,0.010646906250000001,0.031090375,8.0,170,2310,18190,0.010854906249999999,0.00021084374999999988,1.0,0.26512867318112626
Sudoku-COL-AN04,Sudoku-COL-AN04,1.0,4.0,112.0,64.0,256.0,0.00035478125,0.0011852812499999997,4.0,112,64,256,0.000361125,6.753125e-05,1.0,0.27833691814455586
DrinkVendingMachine-COL-10,DrinkVendingMachine-COL-10,7.0,28.0,120.0,111160.0,1026520.0,0.541751125,1.3065103125000002,6.0,120,111160,1026520,0.5512037812500002,0.00020153125,1.0,0.2983372921775847
DatabaseWithMutex-COL-20,DatabaseWithMutex-COL-20,8.0,22.0,3260.0,3200.0,23200.0,0.019365093750000003,0.04755196875,11.0,3260,3200,23200,0.020051593750000003,0.0004557499999999999,1.0,0.3064591149678754
PolyORBNT-COL-S05J80,PolyORBNT-COL-S05J80,38.0,140.0,1189.0,2350.0,14464.0,0.011094000000000001,0.024699531249999993,48.0,1189,2350,14464,0.011364437499999998,0.0005147812499999999,1.0,0.331881720946435
PolyORBNT-COL-S05J20,PolyORBNT-COL-S05J20,38.0,140.0,349.0,1210.0,8824.0,0.0062901875,0.014549656249999997,48.0,349,1210,8824,0.006469374999999999,0.0005280625000000001,1.0,0.33577207122774133
Referendum-COL-0500,Referendum-COL-0500,3.0,6.0,1501.0,1001.0,2501.0,0.0065584375,0.001049375,4.0,1501,1001,2501,0.002592375,2.878125e-05,1.0,0.34453481207640174
TokenRing-COL-030,TokenRing-COL-030,2.0,4.0,961.0,27931.0,111724.0,0.10351046875000001,17.465496875,1.0,961,27931,111724,0.10183381250000001,6.0019665625,1.0,0.3474186250580268
DotAndBoxes-COL-5,DotAndBoxes-COL-5,8.0,44.0,324.0,8760.0,101600.0,0.07907075000000001,0.699449875,8.0,356,10424,121568,0.10208700000000001,0.17405159375,1.1867018934390137,0.3546965679297193
BART-COL-060,BART-COL-060,7.0,26.0,8192.0,12120.0,97200.0,0.11091840625,23.306609375,4.0,9223,12900,104760,0.11998659374999997,8.301668125,1.0891591177628988,0.35963039298678956
DrinkVendingMachine-COL-16,DrinkVendingMachine-COL-16,7.0,28.0,192.0,1118560.0,10642624.0,5.7800924999999985,11.357031250000002,6.0,192,1118560,10642624,6.346762812500001,0.00022162500000000003,1.0,0.3703646265319173
PolyORBNT-COL-S05J60,PolyORBNT-COL-S05J60,38.0,140.0,909.0,1970.0,12584.0,0.00950403125,0.017828999999999998,48.0,909,1970,12584,0.009771093750000001,0.0005142187500000001,1.0,0.37629607949173227
CSRepetitions-COL-07,CSRepetitions-COL-07,5.0,15.0,498.0,833.0,3087.0,0.0024848125,0.004583874999999999,6.0,498,833,3087,0.0026302499999999998,6.812499999999999e-05,1.0,0.38173635487493257
