,name,Btransitions,Barcs,pw-Aplaces,pw-Atransitions,pw-Aarcs,pw-unfoldingtime,pw-colorfixedpoint,cfp-Bplaces,vd-Aplaces,vd-Atransitions,vd-Aarcs,vd-unfoldingtime,vd-colorfixedpoint,size_ratio,unfolding_ratio
Philosophers-COL-010000,Philosophers-COL-010000,5.0,15.0,50000.0,50000.0,160000.0,0.20868234375000005,94.81562812500002,5.0,50000,50000,160000,0.27594099999999994,7.3e-05,1.0,0.0029046672229289233
Philosophers-COL-005000,Philosophers-COL-005000,5.0,15.0,25000.0,25000.0,80000.0,0.09043493749999999,23.463403124999996,5.0,25000,25000,80000,0.10273645454545455,6.454545454545455e-05,1.0,0.0043645116234228174
Philosophers-COL-002000,Philosophers-COL-002000,5.0,15.0,10000.0,10000.0,32000.0,0.04400174999999999,3.6998387500000005,5.0,10000,10000,32000,0.03190063636363636,6.672727272727273e-05,1.0,0.008538655329030077
TokenRing-COL-050,TokenRing-COL-050,2.0,4.0,2601.0,127551.0,510204.0,0.5165245,210.82259374999998,1.0,2601,127551,510204,0.545038888888889,1.518291111111111,1.0,0.00976312391707445
SafeBus-COL-50,SafeBus-COL-50,14.0,68.0,5556.0,140151.0,1082904.0,0.9714594374999999,64.108946875,20.0,5606,140251,1083354,0.6492884000000001,0.1357688,1.0010294632378678,0.012062881049487457
Philosophers-COL-000005,Philosophers-COL-000005,5.0,15.0,25.0,25.0,80.0,0.014671562499999999,0.00010171874999999999,5.0,25,25,80,0.0001075,7.583333333333334e-05,1.0,0.012409791043092295
SharedMemory-COL-000200,SharedMemory-COL-000200,5.0,16.0,40601.0,80200.0,320000.0,0.29320303124999986,21.669275,6.0,40801,80400,320800,0.33186493749999996,7.775e-05,1.0033112308672942,0.015114081709162551
Philosophers-COL-001000,Philosophers-COL-001000,5.0,15.0,5000.0,5000.0,16000.0,0.0188914375,0.9284790624999999,5.0,5000,5000,16000,0.014741375000000001,6.1375e-05,1.0,0.015625090711606497
TokenRing-COL-040,TokenRing-COL-040,2.0,4.0,1681.0,65641.0,262564.0,0.2611728125,70.24210312499999,1.0,1681,65641,262564,0.26328914285714283,1.4542492857142852,1.0,0.02436111522100048
FamilyReunion-COL-L00200M0020C010P010G005,FamilyReunion-COL-L00200M0020C010P010G005,66.0,198.0,143908.0,134279.0,411469.0,0.6167949062500001,24.681615625,104.0,143908,134279,411469,0.6765271,0.0006016,1.0,0.026765661785888607
