,name,Btransitions,Barcs,pw-Aplaces,pw-Atransitions,pw-Aarcs,pw-unfoldingtime,pw-colorfixedpoint,cfp-Bplaces,vd-Aplaces,vd-Atransitions,vd-Aarcs,vd-unfoldingtime,vd-colorfixedpoint,size_ratio,unfolding_ratio
TokenRing-COL-050,TokenRing-COL-050,2.0,4.0,2601.0,127551.0,510204.0,0.5165245,210.82259374999998,1.0,2601.0,127551.0,510204.0,0.572368875,0.0014623750000000003,1.0,0.002715215501756737
BridgeAndVehicles-COL-V80P50N50,BridgeAndVehicles-COL-V80P50N50,11.0,56.0,228.0,8588.0,67470.0,0.030702562500000002,26.257859375000002,15.0,228.0,8588.0,67470.0,0.03386021875,0.04229715625,1.0,0.002896977597369574
BridgeAndVehicles-COL-V80P20N50,BridgeAndVehicles-COL-V80P20N50,11.0,56.0,228.0,8588.0,67470.0,0.03113125,26.462359375000002,15.0,228.0,8588.0,67470.0,0.033954562500000014,0.04342812499999999,1.0,0.0029208188756742956
Philosophers-COL-010000,Philosophers-COL-010000,5.0,15.0,50000.0,50000.0,160000.0,0.20868234375000005,94.81562812500002,5.0,50000.0,50000.0,160000.0,0.280915375,7.368750000000002e-05,1.0,0.0029570229040747097
TokenRing-COL-040,TokenRing-COL-040,2.0,4.0,1681.0,65641.0,262564.0,0.2611728125,70.24210312499999,1.0,1681.0,65641.0,262564.0,0.28734728124999986,0.001420625,1.0,0.004095808349472837
Philosophers-COL-005000,Philosophers-COL-005000,5.0,15.0,25000.0,25000.0,80000.0,0.09043493749999999,23.463403124999996,5.0,25000.0,25000.0,80000.0,0.10867043750000001,6.934374999999999e-05,1.0,0.004616648079241248
BridgeAndVehicles-COL-V80P50N20,BridgeAndVehicles-COL-V80P50N20,11.0,56.0,198.0,3728.0,28830.0,0.01370425,11.322246875000001,15.0,198.0,3728.0,28830.0,0.0144498125,0.038027281249999996,1.0,0.004629262526923606
BridgeAndVehicles-COL-V80P20N20,BridgeAndVehicles-COL-V80P20N20,11.0,56.0,198.0,3728.0,28830.0,0.013325437500000002,11.015475,15.0,198.0,3728.0,28830.0,0.0145741875,0.038810250000000004,1.0,0.004840457292026325
TokenRing-COL-030,TokenRing-COL-030,2.0,4.0,961.0,27931.0,111724.0,0.10351046875000001,17.465496875,1.0,961.0,27931.0,111724.0,0.11062075000000002,0.0013896874999999999,1.0,0.006375456239981972
BridgeAndVehicles-COL-V50P50N50,BridgeAndVehicles-COL-V50P50N50,11.0,56.0,168.0,5408.0,42330.0,0.0194795625,7.033726249999999,15.0,168.0,5408.0,42330.0,0.021483406250000003,0.029617249999999994,1.0,0.007245025539937767
