,name,Btransitions,Barcs,pw-Aplaces,pw-Atransitions,pw-Aarcs,pw-unfoldingtime,pw-colorfixedpoint,cfp-Bplaces,vd-Aplaces,vd-Atransitions,vd-Aarcs,vd-unfoldingtime,vd-colorfixedpoint,size_ratio,unfolding_ratio
SharedMemory-COL-000100,SharedMemory-COL-000100,5.0,16.0,10301.0,20100.0,80000.0,0.0660503125,0.76765875,6.0,10401,20200,80400,0.07631112500000001,8.14375e-05,1.0065787309627974,0.09162976143131467
PhilosophersDyn-COL-50,PhilosophersDyn-COL-50,7.0,33.0,2850.0,257550.0,2154950.0,1.4026699999999999,13.510821875000005,8.0,2850,257550,2154950,1.5759037499999997,0.00020231250000000002,1.0,0.10568323473204018
Sudoku-COL-AN07,Sudoku-COL-AN07,1.0,4.0,490.0,343.0,1372.0,0.0016579375,0.012823218749999999,4.0,490,343,1372,0.00170475,6.284375e-05,1.0,0.12206164476679825
PhilosophersDyn-COL-03,PhilosophersDyn-COL-03,7.0,33.0,30.0,84.0,564.0,0.00042784374999999995,0.0046932812499999995,8.0,30,84,564,0.00047853125,0.0002018125,1.0,0.13285044789963144
QuasiCertifProtocol-COL-02,QuasiCertifProtocol-COL-02,26.0,77.0,86.0,56.0,223.0,0.0002615,0.00380740625,30.0,86,56,223,0.0002931875,0.00032412500000000003,1.0,0.15171460389385968
Sudoku-COL-AN06,Sudoku-COL-AN06,1.0,4.0,324.0,216.0,864.0,0.001089375,0.006440250000000001,4.0,324,216,864,0.0011025624999999998,7.084375000000002e-05,1.0,0.155838604180155
Sudoku-COL-BN04,Sudoku-COL-BN04,1.0,5.0,128.0,64.0,320.0,0.00042068749999999995,0.0062251875,5.0,128,64,320,0.0006169687500000001,0.00044465624999999996,1.0,0.1597419451915662
SafeBus-COL-10,SafeBus-COL-10,14.0,68.0,316.0,1631.0,11384.0,0.006160906250000001,0.04511671875000001,20.0,326,1651,11474,0.006852343750000001,0.0023762500000000003,1.0154083204930662,0.1799731120542342
PhilosophersDyn-COL-20,PhilosophersDyn-COL-20,7.0,33.0,540.0,17220.0,140780.0,0.0813515625,0.3821262187500001,8.0,540,17220,140780,0.08339031250000001,0.00020162500000000006,1.0,0.18035802552293329
DatabaseWithMutex-COL-40,DatabaseWithMutex-COL-40,8.0,22.0,12920.0,12800.0,156800.0,0.12171128124999997,0.63164271875,11.0,12920,12800,156800,0.1392733125,0.0008716875000000002,1.0,0.18602808241543817
BridgeAndVehicles-COL-V20P20N50,BridgeAndVehicles-COL-V20P20N50,11.0,56.0,108.0,2228.0,17190.0,0.00791678125,0.57718315625,15.0,108,2228,17190,0.009467281250000001,0.10788790625,1.0,0.20057289358367092
Sudoku-COL-AN05,Sudoku-COL-AN05,1.0,4.0,200.0,125.0,500.0,0.0006748437499999999,0.002939718750000001,4.0,200,125,500,0.0006674375,6.509375e-05,1.0,0.20266111043867685
BridgeAndVehicles-COL-V20P10N50,BridgeAndVehicles-COL-V20P10N50,11.0,56.0,108.0,2228.0,17190.0,0.00796309375,0.5592271875,15.0,108,2228,17190,0.009486624999999999,0.10774540625000001,1.0,0.20668906912798057
FamilyReunion-COL-L00050M0005C002P002G001,FamilyReunion-COL-L00050M0005C002P002G001,66.0,198.0,12194.0,10560.0,32238.0,0.03820984375000001,0.15639265624999998,104.0,12194,10560,32238,0.04132193749999998,0.0006055312500000002,1.0,0.21545185056718175
BridgeAndVehicles-COL-V80P50N20,BridgeAndVehicles-COL-V80P50N20,11.0,56.0,198.0,3728.0,28830.0,0.01370425,11.322246875000001,15.0,198,3728,28830,0.016683625,2.51496,1.0,0.22332873502045905
BridgeAndVehicles-COL-V80P50N10,BridgeAndVehicles-COL-V80P50N10,11.0,56.0,188.0,2108.0,15950.0,0.0076978437500000016,5.838550624999999,15.0,188,2108,15950,0.008607187500000002,1.3204700000000003,1.0,0.22733847091931308
BridgeAndVehicles-COL-V80P20N20,BridgeAndVehicles-COL-V80P20N20,11.0,56.0,198.0,3728.0,28830.0,0.013325437500000002,11.015475,15.0,198,3728,28830,0.01431665625,2.517119062499999,1.0,0.22952956063495722
SafeBus-COL-06,SafeBus-COL-06,14.0,68.0,144.0,451.0,2968.0,0.0017715625000000006,0.01057021875,20.0,150,463,3022,0.0020204687499999997,0.0010044374999999997,1.030252100840336,0.24509478726986828
BridgeAndVehicles-COL-V80P20N10,BridgeAndVehicles-COL-V80P20N10,11.0,56.0,188.0,2108.0,15950.0,0.007656500000000001,5.967825625,15.0,188,2108,15950,0.00818840625,1.4634875,1.0,0.24628571811684566
CSRepetitions-COL-10,CSRepetitions-COL-10,5.0,15.0,1311.0,2300.0,8700.0,0.0068555937500000014,0.02305196875,6.0,1311,2300,8700,0.0073524062500000004,6.76875e-05,1.0,0.24810091929089845
SharedMemory-COL-000050,SharedMemory-COL-000050,5.0,16.0,2651.0,5050.0,20000.0,0.015230312500000004,0.049159343749999994,6.0,2701,5100,20200,0.0165730625,7.784375e-05,1.0129853265809634,0.25859597984730665
QuasiCertifProtocol-COL-06,QuasiCertifProtocol-COL-06,26.0,77.0,270.0,116.0,659.0,0.0006506874999999998,0.0077789999999999995,30.0,270,116,659,0.0006847499999999999,0.0014971874999999998,1.0,0.25883966635773864
PhilosophersDyn-COL-10,PhilosophersDyn-COL-10,7.0,33.0,170.0,2310.0,18190.0,0.010646906250000001,0.031090375,8.0,170,2310,18190,0.010887062499999997,0.00021324999999999995,1.0,0.26595676976444166
Sudoku-COL-AN04,Sudoku-COL-AN04,1.0,4.0,112.0,64.0,256.0,0.00035478125,0.0011852812499999997,4.0,112,64,256,0.0003591875,6.459375e-05,1.0,0.27517146219715116
DrinkVendingMachine-COL-10,DrinkVendingMachine-COL-10,7.0,28.0,120.0,111160.0,1026520.0,0.541751125,1.3065103125000002,6.0,120,111160,1026520,0.5461155937500001,0.00020862500000000004,1.0,0.295588171492108
TokenRing-COL-010,TokenRing-COL-010,2.0,4.0,121.0,1111.0,4444.0,0.004001531250000001,0.1105124375,1.0,121,1111,4444,0.00424803125,0.029843156249999992,1.0,0.2977033096671885
