,name,Btransitions,Barcs,pw-Aplaces,pw-Atransitions,pw-Aarcs,pw-unfoldingtime,pw-colorfixedpoint,cfp-Bplaces,vd-Aplaces,vd-Atransitions,vd-Aarcs,vd-unfoldingtime,vd-colorfixedpoint,size_ratio,unfolding_ratio
Philosophers-COL-010000,Philosophers-COL-010000,5.0,15.0,50000.0,50000.0,160000.0,0.20868234375000005,94.81562812500002,5.0,50000,50000,160000,0.2910948125000001,7.440625000000002e-05,1.0,0.003064155028473002
Philosophers-COL-005000,Philosophers-COL-005000,5.0,15.0,25000.0,25000.0,80000.0,0.09043493749999999,23.463403124999996,5.0,25000,25000,80000,0.10744459375,6.506250000000002e-05,1.0,0.004564421983573278
TokenRing-COL-050,TokenRing-COL-050,2.0,4.0,2601.0,127551.0,510204.0,0.5165245,210.82259374999998,1.0,2601,127551,510204,0.55255603125,0.43711500000000003,1.0,0.0046828577664419216
Philosophers-COL-002000,Philosophers-COL-002000,5.0,15.0,10000.0,10000.0,32000.0,0.04400174999999999,3.6998387500000005,5.0,10000,10000,32000,0.033294437499999996,7.453125e-05,1.0,0.008913031618200614
TokenRing-COL-040,TokenRing-COL-040,2.0,4.0,1681.0,65641.0,262564.0,0.2611728125,70.24210312499999,1.0,1681,65641,262564,0.26754984375,0.43160025,1.0,0.009916561811536037
Philosophers-COL-000005,Philosophers-COL-000005,5.0,15.0,25.0,25.0,80.0,0.014671562499999999,0.00010171874999999999,5.0,25,25,80,0.00010446874999999996,6.95625e-05,1.0,0.011780135168008122
SafeBus-COL-50,SafeBus-COL-50,14.0,68.0,5556.0,140151.0,1082904.0,0.9714594374999999,64.108946875,20.0,5606,140251,1083354,0.6605368437499999,0.13807599999999998,1.0010294632378678,0.0122711717550634
SharedMemory-COL-000200,SharedMemory-COL-000200,5.0,16.0,40601.0,80200.0,320000.0,0.29320303124999986,21.669275,6.0,40801,80400,320800,0.34048503125000007,8.528125e-05,1.0033112308672942,0.015506916478887718
Philosophers-COL-001000,Philosophers-COL-001000,5.0,15.0,5000.0,5000.0,16000.0,0.0188914375,0.9284790624999999,5.0,5000,5000,16000,0.015164374999999997,7.14375e-05,1.0,0.016082211236258675
FamilyReunion-COL-L00200M0020C010P010G005,FamilyReunion-COL-L00200M0020C010P010G005,66.0,198.0,143908.0,134279.0,411469.0,0.6167949062500001,24.681615625,104.0,143908,134279,411469,0.6806869062499998,0.0005980625,1.0,0.02692995150459903
