,name,Btransitions,Barcs,pw-Aplaces,pw-Atransitions,pw-Aarcs,pw-unfoldingtime,pw-colorfixedpoint,cfp-Bplaces,vd-Aplaces,vd-Atransitions,vd-Aarcs,vd-unfoldingtime,vd-colorfixedpoint,size_ratio,unfolding_ratio
BridgeAndVehicles-COL-V80P20N50,BridgeAndVehicles-COL-V80P20N50,11.0,56.0,228.0,8588.0,67470.0,0.03113125,26.462359375000002,15.0,228.0,8588.0,67470.0,0.034234125,0.022848156249999998,1.0,0.0021545775925855366
BridgeAndVehicles-COL-V80P50N50,BridgeAndVehicles-COL-V80P50N50,11.0,56.0,228.0,8588.0,67470.0,0.030702562500000002,26.257859375000002,15.0,228.0,8588.0,67470.0,0.034182687499999996,0.023005343749999997,1.0,0.002175395953036999
TokenRing-COL-050,TokenRing-COL-050,2.0,4.0,2601.0,127551.0,510204.0,0.5165245,210.82259374999998,1.0,2601.0,127551.0,510204.0,0.55632371875,0.00042462500000000003,1.0,0.0026343837731517554
BridgeAndVehicles-COL-V80P50N20,BridgeAndVehicles-COL-V80P50N20,11.0,56.0,198.0,3728.0,28830.0,0.01370425,11.322246875000001,15.0,198.0,3728.0,28830.0,0.014351125000000003,0.01987534375,1.0,0.0030192851373995314
BridgeAndVehicles-COL-V80P20N20,BridgeAndVehicles-COL-V80P20N20,11.0,56.0,198.0,3728.0,28830.0,0.013325437500000002,11.015475,15.0,198.0,3728.0,28830.0,0.014482156249999998,0.019850625000000004,1.0,0.0031130113782149933
Philosophers-COL-010000,Philosophers-COL-010000,5.0,15.0,50000.0,50000.0,160000.0,0.20868234375000005,94.81562812500002,5.0,50000.0,50000.0,160000.0,0.30502006249999997,7.271874999999999e-05,1.0,0.003210681348225449
TokenRing-COL-040,TokenRing-COL-040,2.0,4.0,1681.0,65641.0,262564.0,0.2611728125,70.24210312499999,1.0,1681.0,65641.0,262564.0,0.2763553437499999,0.00038790624999999985,1.0,0.003925253774666135
BridgeAndVehicles-COL-V80P20N10,BridgeAndVehicles-COL-V80P20N10,11.0,56.0,188.0,2108.0,15950.0,0.007656500000000001,5.967825625,15.0,188.0,2108.0,15950.0,0.00825796875,0.019397625,1.0,0.004628177805820146
BridgeAndVehicles-COL-V80P50N10,BridgeAndVehicles-COL-V80P50N10,11.0,56.0,188.0,2108.0,15950.0,0.0076978437500000016,5.838550624999999,15.0,188.0,2108.0,15950.0,0.0082304375,0.019066468750000003,1.0,0.004669132076050203
Philosophers-COL-005000,Philosophers-COL-005000,5.0,15.0,25000.0,25000.0,80000.0,0.09043493749999999,23.463403124999996,5.0,25000.0,25000.0,80000.0,0.11070937500000001,7.428125e-05,1.0,0.004703422684491424
